"id","title","code","timestamp"
1,Proveedor,supplier,2022-06-21 12:50:53.962 -0300
2,Distribuidor,distributor,2022-06-21 12:50:53.962 -0300
3,Minorista,vendor,2022-06-21 12:50:53.962 -0300
4,Corporation,corporation,2022-07-13 13:04:42.589 -0300
